SubName;TerritoryID;Size;Color;Class;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
NULL;6;42;NULL;NULL;611259,7822;499280,6349;429;111979,1473
NULL;7;42;NULL;NULL;393421,0913;291025,8404;249;102395,2509
NULL;8;42;NULL;NULL;260357,8696;166874,3389;146;93483,5307
NULL;9;42;NULL;NULL;522060,9018;302938,1672;272;219122,7346
NULL;10;42;NULL;NULL;512707,608;369623,2213;322;143084,3867
NULL;1;44;NULL;NULL;181653,164;170032,9392;144;11620,2248
NULL;2;44;NULL;NULL;107999,052;114550,9914;78;-6551,9394
NULL;3;44;NULL;NULL;148084,902;157068,7145;127;-8983,8125
NULL;4;44;NULL;NULL;391981,926;377394,1163;325;14587,8097
NULL;5;44;NULL;NULL;97745,928;103675,8444;84;-5929,9164
NULL;6;44;NULL;NULL;173598,418;175401,3744;135;-1802,9564
NULL;7;44;NULL;NULL;136210,69;120195,9798;93;16014,7102
NULL;8;44;NULL;NULL;71765,47;52877,7169;47;18887,7531
NULL;9;44;NULL;NULL;227216,8625;144767,4079;131;82449,4546
NULL;10;44;NULL;NULL;160507,004;135943,3854;108;24563,6186
NULL;1;46;NULL;NULL;812837,5599;625426,0449;497;187411,515
NULL;2;46;NULL;NULL;79043,658;71867,5475;57;7176,1105
NULL;3;46;NULL;NULL;253825,5322;231714,741;184;22110,7912
NULL;4;46;NULL;NULL;812260,7353;577373,4185;459;234887,3168
NULL;5;46;NULL;NULL;102407,556;93110,315;74;9297,241
NULL;6;46;NULL;NULL;477844,4973;394079,5353;313;83764,962
NULL;7;46;NULL;NULL;326331,586;220351,4419;175;105980,1441
NULL;8;46;NULL;NULL;297294,712;176286,6088;140;121008,1032
NULL;9;46;NULL;NULL;358895,444;203843,8356;162;155051,6084
NULL;10;46;NULL;NULL;345084,6122;236709,028;188;108375,5842
NULL;1;48;NULL;NULL;166764,7621;162663,5412;162;4101,2209
NULL;2;48;NULL;NULL;141258,432;149828,1048;144;-8569,6728
NULL;3;48;NULL;NULL;148280,454;157276,1294;145;-8995,6754
NULL;4;48;NULL;NULL;427133,784;427250,0523;402;-116,2683
NULL;5;48;NULL;NULL;108932,082;115540,6244;103;-6608,5424
NULL;6;48;NULL;NULL;210536,5895;218710,8039;204;-8174,2144
NULL;7;48;NULL;NULL;138012,42;123057,7873;110;14954,6327
NULL;8;48;NULL;NULL;73582,964;57611,6989;56;15971,2651
NULL;9;48;NULL;NULL;281266,86;179620,2032;148;101646,6568
NULL;10;48;NULL;NULL;199434,872;168160,7647;152;31274,1073
NULL;1;52;NULL;NULL;69391,14;68417,7076;44;973,4324
NULL;2;52;NULL;NULL;45446,31;48203,3849;31;-2757,0749
NULL;3;52;NULL;NULL;73300,50;77747,395;50;-4446,895
NULL;4;52;NULL;NULL;206218,74;211472,9144;136;-5254,1744
NULL;5;52;NULL;NULL;48378,33;51313,2807;33;-2934,9507
NULL;6;52;NULL;NULL;109462,08;111956,2488;72;-2494,1688
NULL;7;52;NULL;NULL;74766,51;60642,9681;39;14123,5419
NULL;8;52;NULL;NULL;52287,69;38873,6975;25;13413,9925
NULL;9;52;NULL;NULL;194490,66;124395,832;80;70094,828
NULL;10;52;NULL;NULL;101154,69;88632,0303;57;12522,6597
NULL;1;58;NULL;NULL;113860,11;107291,4051;69;6568,7049
NULL;2;58;NULL;NULL;24922,17;26434,1143;17;-1511,9443
NULL;3;58;NULL;NULL;137804,94;146165,1026;94;-8360,1626
NULL;4;58;NULL;NULL;361127,13;359192,9649;231;1934,1651
NULL;5;58;NULL;NULL;92358,63;97961,7177;63;-5603,0877
NULL;6;58;NULL;NULL;122167,50;127505,7278;82;-5338,2278
NULL;7;58;NULL;NULL;77209,86;55978,1244;36;21231,7356
NULL;8;58;NULL;NULL;74277,84;59088,0202;38;15189,8198
NULL;9;58;NULL;NULL;359172,45;228577,3413;147;130595,1087
NULL;10;58;NULL;NULL;145361,8725;121285,9362;78;24075,9363
NULL;1;NULL;Black;NULL;1658025,0533;1387916,2348;1058;270108,8185
NULL;2;NULL;Black;NULL;397211,006;397394,2423;277;-183,2363
NULL;3;NULL;Black;NULL;714123,0438;704396,7222;506;9726,3216
NULL;4;NULL;Black;NULL;2321044,8293;1963006,2684;1422;358038,5609
NULL;5;NULL;Black;NULL;513190,7093;502903,753;362;10286,9563
NULL;6;NULL;Black;NULL;1414796,8215;1258725,6812;934;156071,1403
NULL;7;NULL;Black;NULL;916169,2474;715963,3108;530;200205,9366
NULL;8;NULL;Black;NULL;572910,88;380325,7206;282;192585,1594
NULL;9;NULL;Black;NULL;1386812,2489;849893,6144;606;536918,6345
NULL;10;NULL;Black;NULL;1104773,3673;846819,6238;620;257953,7435
NULL;1;NULL;Red;NULL;67436,46;62197,916;40;5238,544
NULL;2;NULL;Red;NULL;10262,07;10884,6353;7;-622,5653
NULL;3;NULL;Red;NULL;77698,53;82412,2387;53;-4713,7087
NULL;4;NULL;Red;NULL;161261,10;161714,5816;104;-453,4816
NULL;5;NULL;Red;NULL;49844,34;52868,2286;34;-3023,8886
NULL;6;NULL;Red;NULL;58640,40;62197,916;40;-3557,516
NULL;7;NULL;Red;NULL;41536,95;29544,0101;19;11992,9399
NULL;8;NULL;Red;NULL;34695,57;26434,1143;17;8261,4557
NULL;9;NULL;Red;NULL;183251,25;116621,0925;75;66630,1575
NULL;10;NULL;Red;NULL;80368,7625;66862,7597;43;13506,0028
NULL;1;NULL;Silver;NULL;1098744,4791;849230,6845;671;249513,7946
NULL;2;NULL;Silver;NULL;185135,202;168327,3935;133;16807,8085
NULL;3;NULL;Silver;NULL;395125,1527;364498,416;288;30626,7367
NULL;4;NULL;Silver;NULL;1201970,2476;851761,9235;673;350208,3241
NULL;5;NULL;Silver;NULL;218664,6253;198702,2615;157;19962,3638
NULL;6;NULL;Silver;NULL;751699,9595;622684,794;492;129015,1655
NULL;7;NULL;Silver;NULL;498797,85;348045,3625;275;150752,4875
NULL;8;NULL;Silver;NULL;428949,5796;264514,4755;209;164435,1041
NULL;9;NULL;Silver;NULL;615476,7756;350576,6015;277;264900,1741
NULL;10;NULL;Silver;NULL;593428,3859;411326,3375;325;182102,0484
NULL;1;NULL;Yellow;NULL;318112,489;275961,8826;387;42150,6064
NULL;2;NULL;Yellow;NULL;174124,146;184687,6682;259;-10563,5222
NULL;3;NULL;Yellow;NULL;223201,608;236742,4936;332;-13540,8856
NULL;4;NULL;Yellow;NULL;768207,944;718784,4384;1008;49423,5056
NULL;5;NULL;Yellow;NULL;166728,912;176843,7904;248;-10114,8784
NULL;6;NULL;Yellow;NULL;324328,5195;315894,3514;443;8434,1681
NULL;7;NULL;Yellow;NULL;192500,182;167573,753;235;24926,429
NULL;8;NULL;Yellow;NULL;149249,268;111240,4488;156;38008,8192
NULL;9;NULL;Yellow;NULL;370882,19;236029,4138;331;134852,7762
NULL;10;NULL;Yellow;NULL;300078,4265;255995,6482;359;44082,7783
Mountain Bikes;1;NULL;NULL;NULL;2430698,6113;1912162,8082;1520;518535,8031
Mountain Bikes;2;NULL;NULL;NULL;337522,538;306045,3365;243;31477,2015
Mountain Bikes;3;NULL;NULL;NULL;766201,8565;705037,3296;560;61164,5269
Mountain Bikes;4;NULL;NULL;NULL;2596985,4269;1877134,6082;1492;719850,8187
Mountain Bikes;5;NULL;NULL;NULL;491429,6946;446594,5589;355;44835,1357
Mountain Bikes;6;NULL;NULL;NULL;1723273,091;1422700,8447;1131;300572,2463
Mountain Bikes;7;NULL;NULL;NULL;1099774,9474;795002,6866;632;304772,2608
Mountain Bikes;8;NULL;NULL;NULL;819097,8796;504894,8851;401;314202,9945
Mountain Bikes;9;NULL;NULL;NULL;1269057,142;732430,898;582;536626,244
Mountain Bikes;10;NULL;NULL;NULL;1274524,8632;895843,1006;712;378681,7626
Road Bikes;1;NULL;NULL;NULL;711619,8701;663143,9097;636;48475,9604
Road Bikes;2;NULL;NULL;NULL;429209,886;455248,6028;433;-26038,7168
Road Bikes;3;NULL;NULL;NULL;643946,478;683012,5409;619;-39066,0629
Road Bikes;4;NULL;NULL;NULL;1855498,694;1818132,6037;1715;37366,0903
Road Bikes;5;NULL;NULL;NULL;456998,892;484723,4746;446;-27724,5826
Road Bikes;6;NULL;NULL;NULL;826192,6095;836801,8979;778;-10609,2884
Road Bikes;7;NULL;NULL;NULL;549229,282;466123,7498;427;83105,5322
Road Bikes;8;NULL;NULL;NULL;366707,418;277619,8741;263;89087,5439
Road Bikes;9;NULL;NULL;NULL;1287365,3225;820689,8242;707;466675,4983
Road Bikes;10;NULL;NULL;NULL;804124,079;685161,2686;635;118962,8104
