SubName;TerritoryID;Size;Color;Class;totalSellAmt;totalCosts;totalQuantity;totalGrossProfit
NULL;6;62;NULL;NULL;124149,015;128003,8358;263;-3854,8208
NULL;1;58;NULL;NULL;81917,04;79333,1758;163;2583,8642
NULL;6;48;NULL;NULL;472593,8338;466930,2378;606;5663,596
NULL;10;40;NULL;NULL;34343,682;31717,0762;53;2626,6058
NULL;7;48;NULL;NULL;150764,092;136989,3542;156;13774,7378
NULL;5;40;NULL;NULL;36935,658;34110,8178;57;2824,8402
NULL;10;38;NULL;NULL;27215,748;25134,2868;42;2081,4612
NULL;9;58;NULL;NULL;18008,77;11194,2518;23;6814,5182
NULL;1;60;NULL;NULL;87496,6265;88093,8946;181;-597,2681
NULL;8;62;NULL;NULL;7046,91;4380,3594;9;2666,5506
NULL;5;44;NULL;NULL;216263,0949;228671,2806;309;-12408,1857
NULL;2;58;NULL;NULL;93489,006;96854,6134;199;-3365,6074
NULL;1;62;NULL;NULL;90859,412;89554,0144;184;1305,3976
NULL;7;52;NULL;NULL;150014,644;131634,6198;192;18380,0242
NULL;8;60;NULL;NULL;7829,90;4867,066;10;2962,834
NULL;2;52;NULL;NULL;206873,2771;215389,4478;345;-8516,1707
NULL;3;60;NULL;NULL;132466,1702;138711,381;285;-6245,2108
NULL;10;62;NULL;NULL;42594,656;38936,528;80;3658,128
NULL;2;48;NULL;NULL;265800,846;268955,681;367;-3154,835
NULL;10;44;NULL;NULL;162274,662;147594,92;194;14679,742
NULL;5;38;NULL;NULL;38231,646;35307,6886;59;2923,9574
NULL;4;58;NULL;NULL;242548,1433;243840,0066;501;-1291,8633
NULL;3;62;NULL;NULL;100066,122;103668,5058;213;-3602,3838
NULL;9;48;NULL;NULL;172534,05;107247,1684;91;65286,8816
NULL;10;48;NULL;NULL;142943,538;123396,338;164;19547,20
NULL;9;44;NULL;NULL;147223,18;91513,9312;82;55709,2488
NULL;5;58;NULL;NULL;82213,95;85173,655;175;-2959,705
NULL;2;40;NULL;NULL;56000,0733;52063,8798;87;3936,1935
NULL;5;48;NULL;NULL;186669,816;188449,7128;271;-1779,8968
NULL;5;62;NULL;NULL;73311,9795;76899,6428;158;-3587,6633
NULL;2;44;NULL;NULL;319471,4782;338866,3724;468;-19394,8942
NULL;9;52;NULL;NULL;138327,15;85984,1588;77;52342,9912
NULL;10;60;NULL;NULL;59861,4645;57431,3788;118;2430,0857
NULL;1;38;NULL;NULL;85159,8033;78993,4728;132;6166,3305
NULL;7;40;NULL;NULL;19439,82;17953,062;30;1486,758
NULL;7;62;NULL;NULL;51685,1695;51590,8996;106;94,2699
NULL;7;44;NULL;NULL;222436,3414;214374,6034;259;8061,738
NULL;7;58;NULL;NULL;41185,274;39423,2346;81;1762,0394
NULL;3;38;NULL;NULL;34991,676;32315,5116;54;2676,1644
NULL;4;52;NULL;NULL;509559,3401;516997,7208;759;-7438,3807
NULL;5;60;NULL;NULL;91361,2311;95394,4936;196;-4033,2625
NULL;10;NULL;Red;NULL;403884,5825;356595,2902;457;47289,2923
NULL;3;NULL;Red;NULL;634001,3195;667151,1104;953;-33149,7909
NULL;6;NULL;Black;NULL;828528,1233;817234,2524;1554;11293,8709
NULL;8;NULL;Red;NULL;169996,32;105669,7154;92;64326,6046
NULL;7;NULL;Red;NULL;514952,0088;481944,017;617;33007,9918
NULL;10;NULL;Black;NULL;239511,3055;221679,6538;413;17831,6517
NULL;3;NULL;Black;NULL;453381,9916;453010,728;872;371,2636
NULL;8;NULL;Black;NULL;21140,73;13141,0782;27;7999,6518
NULL;1;NULL;Black;NULL;573644,8884;545604,5328;992;28040,3556
NULL;5;NULL;Red;NULL;519610,0275;548874,8614;763;-29264,8339
NULL;4;NULL;Red;NULL;1784058,4002;1827001,621;2473;-42943,2208
NULL;7;NULL;Black;NULL;209776,778;200007,3954;385;9769,3826
NULL;5;NULL;Black;NULL;367125,662;362379,217;689;4746,445
NULL;9;NULL;Red;NULL;453386,44;281825,0188;244;171561,4212
NULL;2;NULL;Red;NULL;716775,6311;760605,3228;1092;-43829,6917
NULL;1;NULL;Red;NULL;615851,8496;595663,9068;804;20187,9428
NULL;4;NULL;Black;NULL;1174785,9934;1151581,8792;2204;23204,1142
NULL;6;NULL;Red;NULL;1220382,0095;1253498,0966;1670;-33116,0871
NULL;9;NULL;Black;NULL;57941,26;36016,2884;74;21924,9716
NULL;2;NULL;Black;NULL;501192,7762;496728,6582;943;4464,118
Mountain Bikes;3;NULL;NULL;NULL;165886,464;153199,4624;256;12687,0016
Mountain Bikes;10;NULL;NULL;NULL;119878,89;110710,549;185;9168,341
Mountain Bikes;6;NULL;NULL;NULL;353156,73;326147,293;545;27009,437
Mountain Bikes;1;NULL;NULL;NULL;362534,4984;336320,6948;562;26213,8036
Mountain Bikes;2;NULL;NULL;NULL;218271,1626;202271,1652;338;15999,9974
Mountain Bikes;4;NULL;NULL;NULL;457483,764;422495,3924;706;34988,3716
Mountain Bikes;5;NULL;NULL;NULL;156814,548;144821,3668;242;11993,1812
Mountain Bikes;7;NULL;NULL;NULL;73223,322;67623,2002;113;5600,1218
Road Bikes;6;NULL;NULL;NULL;1695753,4028;1744585,056;2679;-48831,6532
Road Bikes;8;NULL;NULL;NULL;191137,05;118810,7936;119;72326,2564
Road Bikes;4;NULL;NULL;NULL;2501360,6296;2556088,1078;3971;-54727,4782
Road Bikes;1;NULL;NULL;NULL;826962,2396;804947,7448;1234;22014,4948
Road Bikes;3;NULL;NULL;NULL;921496,8471;966962,376;1569;-45465,5289
Road Bikes;5;NULL;NULL;NULL;729921,1415;766432,7116;1210;-36511,5701
Road Bikes;9;NULL;NULL;NULL;511327,70;317841,3072;318;193486,3928
Road Bikes;10;NULL;NULL;NULL;523516,998;467564,395;685;55952,603
Road Bikes;7;NULL;NULL;NULL;651505,4648;614328,2122;889;37177,2526
Road Bikes;2;NULL;NULL;NULL;999697,2447;1055062,8158;1697;-55365,5711
