Name;Size;Color;Class;Weight;OrderQty;StandardCost;isDiscounted;OrderYear;AveliablePeriod;TotalProfit
Mountain Bikes;42;Black;"H ";20.77;2;1898,0944;0;2011;0;253,7992
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;127,8396
Road Bikes;58;Red;"M ";17.79;1;884,7083;0;2011;0;-9,9143
Road Bikes;62;Red;"L ";20.00;2;486,7066;0;2011;0;-134,4954
Road Bikes;44;Red;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;52;Black;"L ";19.42;2;486,7066;0;2011;0;-134,4954
Road Bikes;52;Red;"M ";17.42;3;884,7083;0;2011;0;-29,7429
Road Bikes;62;Red;"L ";20.00;4;486,7066;0;2011;0;-268,9908
Road Bikes;44;Red;"L ";18.77;2;486,7066;0;2011;0;-134,4954
Road Bikes;52;Red;"M ";17.42;2;884,7083;0;2011;0;-19,8286
Road Bikes;58;Red;"M ";17.79;1;884,7083;0;2011;0;-9,9143
Mountain Bikes;42;Black;"H ";20.77;2;1898,0944;0;2011;0;253,7992
Mountain Bikes;48;Black;"H ";21.42;2;1898,0944;0;2011;0;253,7992
Mountain Bikes;38;Black;"H ";20.35;3;1898,0944;0;2011;0;380,6988
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;-24,3322
Road Bikes;52;Red;"M ";17.42;1;884,7083;0;2011;0;-9,9143
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;60;Red;"L ";19.90;4;486,7066;0;2011;0;-268,9908
Road Bikes;58;Black;"L ";19.79;2;486,7066;0;2011;0;-134,4954
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;-67,2477
Road Bikes;58;Red;"M ";17.79;1;884,7083;0;2011;0;-9,9143
Road Bikes;60;Red;"L ";19.90;1;486,7066;0;2011;0;-67,2477
Road Bikes;58;Black;"L ";19.79;1;486,7066;0;2011;0;-67,2477
Road Bikes;44;Red;"L ";18.77;3;486,7066;0;2011;0;-201,7431
Road Bikes;62;Red;"L ";20.00;2;486,7066;0;2011;0;-134,4954
Road Bikes;44;Red;"M ";16.77;1;884,7083;0;2011;0;-9,9143
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;52;Red;"M ";17.42;2;884,7083;0;2011;0;-19,8286
Road Bikes;58;Red;"M ";17.79;1;884,7083;0;2011;0;-9,9143
Road Bikes;60;Red;"M ";17.90;1;884,7083;0;2011;0;-9,9143
Road Bikes;60;Red;"L ";19.90;1;486,7066;0;2011;0;-67,2477
Road Bikes;52;Black;"L ";19.42;2;486,7066;0;2011;0;-134,4954
Road Bikes;60;Red;"L ";19.90;3;486,7066;0;2011;0;-201,7431
Road Bikes;44;Red;"M ";16.77;2;884,7083;0;2011;0;-19,8286
Road Bikes;52;Red;"M ";17.42;1;884,7083;0;2011;0;-9,9143
Road Bikes;62;Red;"L ";20.00;1;486,7066;0;2011;0;-67,2477
Road Bikes;56;Red;"H ";14.68;2;2171,2942;0;2011;0;-48,6644
Road Bikes;58;Black;"L ";19.79;3;486,7066;0;2011;0;-201,7431
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;-67,2477
Road Bikes;44;Red;"L ";18.77;5;486,7066;0;2011;0;-336,2385
Road Bikes;52;Black;"L ";19.42;3;486,7066;0;2011;0;-201,7431
Road Bikes;52;Red;"M ";17.42;3;884,7083;0;2011;0;-29,7429
Road Bikes;44;Black;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;62;Red;"L ";20.00;2;486,7066;0;2011;0;-134,4954
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;-24,3322
Road Bikes;52;Red;"L ";19.42;2;486,7066;0;2011;0;-134,4954
Road Bikes;60;Red;"L ";19.90;2;486,7066;0;2011;0;-134,4954
Road Bikes;44;Red;"M ";16.77;1;884,7083;0;2011;0;-9,9143
Road Bikes;52;Red;"M ";17.42;2;884,7083;0;2011;0;-19,8286
Road Bikes;44;Red;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;60;Red;"L ";19.90;2;486,7066;0;2011;0;-134,4954
Road Bikes;52;Black;"L ";19.42;2;486,7066;0;2011;0;-134,4954
Mountain Bikes;42;Black;"H ";20.77;2;1898,0944;0;2011;0;253,7992
Mountain Bikes;44;Silver;"H ";21.13;2;1912,1544;0;2011;0;255,6792
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;38;Black;"H ";20.35;4;1898,0944;0;2011;0;507,5984
Mountain Bikes;44;Black;"H ";21.13;6;1898,0944;0;2011;0;761,3976
Mountain Bikes;42;Silver;"H ";20.77;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;48;Black;"H ";21.42;5;1898,0944;0;2011;0;634,498
Road Bikes;58;Red;"M ";17.79;2;884,7083;0;2011;0;-19,8286
Road Bikes;44;Red;"L ";18.77;2;486,7066;0;2011;0;-134,4954
Road Bikes;60;Red;"L ";19.90;1;486,7066;0;2011;0;-67,2477
Road Bikes;52;Red;"M ";17.42;2;884,7083;0;2011;0;-19,8286
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;-67,2477
Road Bikes;58;Black;"L ";19.79;3;486,7066;0;2011;0;-201,7431
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;-67,2477
Road Bikes;58;Red;"M ";17.79;1;884,7083;0;2011;0;-9,9143
Road Bikes;52;Red;"M ";17.42;3;884,7083;0;2011;0;-29,7429
Road Bikes;44;Red;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;44;Black;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;58;Black;"L ";19.79;2;486,7066;0;2011;0;-134,4954
Road Bikes;60;Red;"L ";19.90;2;486,7066;0;2011;0;-134,4954
Road Bikes;44;Red;"L ";18.77;3;486,7066;0;2011;0;-201,7431
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;-67,2477
Road Bikes;58;Red;"M ";17.79;2;884,7083;0;2011;0;-19,8286
Road Bikes;52;Red;"M ";17.42;2;884,7083;0;2011;0;-19,8286
Road Bikes;58;Black;"L ";19.79;3;486,7066;0;2011;0;-201,7431
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;56;Red;"H ";14.68;2;2171,2942;0;2011;0;-48,6644
Road Bikes;52;Red;"L ";19.42;3;486,7066;0;2011;0;-201,7431
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;-24,3322
Road Bikes;60;Red;"M ";17.90;2;884,7083;0;2011;0;-19,8286
Road Bikes;60;Black;"L ";19.90;4;486,7066;0;2011;0;-268,9908
Road Bikes;52;Black;"L ";19.42;2;486,7066;0;2011;0;-134,4954
Road Bikes;60;Red;"L ";19.90;7;486,7066;0;2011;0;-470,7339
Road Bikes;48;Red;"L ";19.13;6;486,7066;0;2011;0;-403,4862
Road Bikes;58;Black;"L ";19.79;5;486,7066;0;2011;0;-336,2385
Road Bikes;44;Black;"L ";18.77;2;486,7066;0;2011;0;-134,4954
Road Bikes;62;Red;"L ";20.00;2;486,7066;0;2011;0;-134,4954
Road Bikes;52;Red;"M ";17.42;3;884,7083;0;2011;0;-29,7429
Road Bikes;62;Red;"H ";15.00;2;2171,2942;0;2011;0;-48,6644
Road Bikes;44;Red;"L ";18.77;9;486,7066;0;2011;0;-605,2293
Road Bikes;58;Red;"M ";17.79;4;884,7083;0;2011;0;-39,6572
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;60;Red;"L ";19.90;2;486,7066;0;2011;0;-134,4954
Road Bikes;52;Red;"M ";17.42;1;884,7083;0;2011;0;-9,9143
Road Bikes;52;Black;"L ";19.42;5;486,7066;0;2011;0;-336,2385
Road Bikes;58;Red;"M ";17.79;8;884,7083;0;2011;0;-79,3144
Road Bikes;44;Black;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;44;Red;"M ";16.77;4;884,7083;0;2011;0;-39,6572
Road Bikes;52;Red;"M ";17.42;8;884,7083;0;2011;0;-79,3144
Road Bikes;44;Red;"L ";18.77;6;486,7066;0;2011;0;-403,4862
Road Bikes;60;Red;"L ";19.90;7;486,7066;0;2011;0;-470,7339
Road Bikes;60;Red;"M ";17.90;2;884,7083;0;2011;0;-19,8286
Road Bikes;58;Black;"L ";19.79;2;486,7066;0;2011;0;-134,4954
Road Bikes;52;Red;"L ";19.42;1;486,7066;0;2011;0;-67,2477
Road Bikes;56;Red;"H ";14.68;2;2171,2942;0;2011;0;-48,6644
Road Bikes;60;Black;"L ";19.90;1;486,7066;0;2011;0;-67,2477
Road Bikes;62;Red;"L ";20.00;3;486,7066;0;2011;0;-201,7431
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;-67,2477
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;38;Silver;"H ";20.35;3;1912,1544;0;2011;0;383,5188
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;44;Black;"H ";21.13;3;1898,0944;0;2011;0;380,6988
Mountain Bikes;42;Silver;"H ";20.77;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;48;Black;"H ";21.42;1;1898,0944;0;2011;0;126,8996
Mountain Bikes;42;Black;"H ";20.77;3;1898,0944;0;2011;0;380,6988
Mountain Bikes;38;Silver;"H ";20.35;3;1912,1544;0;2011;0;383,5188
Mountain Bikes;42;Silver;"H ";20.77;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;127,8396
Mountain Bikes;44;Silver;"H ";21.13;2;1912,1544;0;2011;0;255,6792
Mountain Bikes;48;Silver;"H ";21.42;2;1912,1544;0;2011;0;255,6792
Mountain Bikes;44;Black;"H ";21.13;5;1898,0944;0;2011;0;634,498
Mountain Bikes;48;Black;"H ";21.42;6;1898,0944;0;2011;0;761,3976
Mountain Bikes;38;Black;"H ";20.35;5;1898,0944;0;2011;0;634,498
Road Bikes;44;Red;"L ";18.77;1;486,7066;0;2011;0;-67,2477
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;62;Black;"L ";20.00;1;486,7066;0;2011;0;212,3916
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;48;Black;"H ";21.42;1;1898,0944;0;2011;0;1476,8956
Mountain Bikes;38;Silver;"H ";20.35;1;1912,1544;0;2011;0;1487,8356
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"L ";19.42;1;486,7066;0;2011;0;212,3916
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Black;"L ";20.00;1;486,7066;0;2011;0;212,3916
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;58;Black;"L ";19.79;1;486,7066;0;2011;0;212,3916
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;58;Black;"L ";19.79;1;486,7066;0;2011;0;212,3916
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Black;"H ";21.13;1;1898,0944;0;2011;0;1476,8956
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;1487,8356
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;58;Black;"L ";19.79;1;486,7066;0;2011;0;212,3916
Mountain Bikes;44;Black;"H ";21.13;1;1898,0944;0;2011;0;1476,8956
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Black;"H ";21.13;1;1898,0944;0;2011;0;1476,8956
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"L ";19.42;1;486,7066;0;2011;0;212,3916
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;1487,8356
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;42;Silver;"H ";20.77;1;1912,1544;0;2011;0;1487,8356
Road Bikes;44;Red;"L ";18.77;1;486,7066;0;2011;0;212,3916
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;38;Silver;"H ";20.35;1;1912,1544;0;2011;0;1487,8356
Mountain Bikes;48;Black;"H ";21.42;1;1898,0944;0;2011;0;1476,8956
Mountain Bikes;48;Black;"H ";21.42;1;1898,0944;0;2011;0;1476,8956
Mountain Bikes;38;Silver;"H ";20.35;1;1912,1544;0;2011;0;1487,8356
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;38;Silver;"H ";20.35;1;1912,1544;0;2011;0;1487,8356
Mountain Bikes;48;Silver;"H ";21.42;1;1912,1544;0;2011;0;1487,8356
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;212,3916
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"L ";19.13;1;486,7066;0;2011;0;212,3916
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;42;Silver;"H ";20.77;1;1912,1544;0;2011;0;1487,8356
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Black;"H ";21.13;1;1898,0944;0;2011;0;1476,8956
Mountain Bikes;44;Black;"H ";21.13;1;1898,0944;0;2011;0;1476,8956
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Road Bikes;56;Red;"H ";14.68;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;44;Silver;"H ";21.13;1;1912,1544;0;2011;0;1487,8356
Road Bikes;48;Red;"H ";14.13;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Road Bikes;52;Black;"L ";19.42;1;486,7066;0;2011;0;212,3916
Road Bikes;44;Black;"L ";18.77;1;486,7066;0;2011;0;212,3916
Road Bikes;52;Red;"H ";14.42;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;38;Black;"H ";20.35;1;1898,0944;0;2011;0;1476,8956
Road Bikes;44;Black;"L ";18.77;1;486,7066;0;2011;0;212,3916
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;44;Red;"H ";13.77;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;42;Black;"H ";20.77;1;1898,0944;0;2011;0;1476,8956
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Road Bikes;62;Red;"H ";15.00;1;2171,2942;0;2011;0;1406,9758
Mountain Bikes;38;Black;"H ";20.35;1;1898,0944;0;2011;0;1476,8956
Mountain Bikes;38;Black;"H ";20.35;1;1898,0944;0;2011;0;1476,8956
Road Bikes;62;Red;"L ";20.00;1;486,7066;0;2011;0;212,3916
